translation       rank of 18 length-4 words = 17   (17 = relation holds, 18 = free)
translation_poly  rank of 18 length-4 words = 17   (17 = relation holds, 18 = free)
skew              rank of 18 length-4 words = 17   (17 = relation holds, 18 = free)
external          rank of 18 length-4 words = 17   (17 = relation holds, 18 = free)
generic2          rank of 18 length-4 words = 17   (17 = relation holds, 18 = free)
curved_local      rank of 18 length-4 words = 17   (17 = relation holds, 18 = free)
linear_plus_quadratic rank of 18 length-4 words = 17   (17 = relation holds, 18 = free)
randquad          rank of 18 length-4 words = 18   (17 = relation holds, 18 = free)
nonlocal          rank of 18 length-4 words = 18   (17 = relation holds, 18 = free)
curved            rank of 18 length-4 words = 18   (17 = relation holds, 18 = free)
momentum_potential rank of 18 length-4 words = 18   (17 = relation holds, 18 = free)
local_generic     rank of 18 length-4 words = 18   (17 = relation holds, 18 = free)
cubic_kinetic     rank of 18 length-4 words = 18   (17 = relation holds, 18 = free)
quartic_kinetic   rank of 18 length-4 words = 18   (17 = relation holds, 18 = free)
