======================================================================
  1000x1000 ATLAS SCAN
  Potential: 1/r   Epsilon: 5e-03
  Grid: 1000x1000   Rows: 400-499
  Workers: 15   Samples/point: 400
  Output: atlas_1000/1_r/block_0400_0500/
======================================================================

  Building symbolic algebra...
  Building symbolic generators for Newtonian (1/r)...
    Level 2: 12 generators (0 zero)
    Level 3: 138 generators (0 zero)
    Total: 156 generators, 156 non-zero
    Compiling evaluator...
    Lambdifying 156 expressions individually...
      20/156  [0.7s]
      40/156  [127.1s]
      60/156  [271.5s]
      80/156  [505.7s]
      100/156  [682.2s]
      120/156  [786.2s]
      140/156  [876.2s]
      156/156  [904.4s]
    Total lambdify time: 905.0s
  Algebra ready (1370.7s)
  Algebra ready (1370.7s, 156 generators)

  Row    1/100  (global  400)  mu=2.0320  [   1000/100000]  row=220.9s  ETA=365m  ranks=[116,116]  gap=[3.6e+04,3.9e+07]
  Row    2/100  (global  401)  mu=2.0369  [   2000/100000]  row=220.8s  ETA=361m  ranks=[116,116]  gap=[4.7e+04,3.4e+07]
  Row    3/100  (global  402)  mu=2.0419  [   3000/100000]  row=219.3s  ETA=356m  ranks=[116,116]  gap=[3.3e+04,3.3e+07]
  Row    4/100  (global  403)  mu=2.0468  [   4000/100000]  row=219.5s  ETA=352m  ranks=[116,116]  gap=[4.1e+04,3.1e+07]
  Row    5/100  (global  404)  mu=2.0518  [   5000/100000]  row=217.7s  ETA=348m  ranks=[116,116]  gap=[5.2e+04,3.6e+07]
  Row    6/100  (global  405)  mu=2.0568  [   6000/100000]  row=220.7s  ETA=344m  ranks=[116,116]  gap=[4.2e+04,3.0e+07]
  Row    7/100  (global  406)  mu=2.0617  [   7000/100000]  row=219.4s  ETA=341m  ranks=[116,116]  gap=[3.8e+04,3.2e+07]
  Row    8/100  (global  407)  mu=2.0667  [   8000/100000]  row=219.9s  ETA=337m  ranks=[116,116]  gap=[4.5e+04,3.0e+07]
  Row    9/100  (global  408)  mu=2.0716  [   9000/100000]  row=221.2s  ETA=334m  ranks=[116,116]  gap=[6.2e+04,3.0e+07]
  Row   10/100  (global  409)  mu=2.0766  [  10000/100000]  row=220.4s  ETA=330m  ranks=[116,116]  gap=[5.4e+04,3.3e+07]
  Row   11/100  (global  410)  mu=2.0815  [  11000/100000]  row=220.0s  ETA=326m  ranks=[116,116]  gap=[5.2e+04,2.9e+07]
  Row   12/100  (global  411)  mu=2.0865  [  12000/100000]  row=220.0s  ETA=323m  ranks=[116,116]  gap=[5.5e+04,2.7e+07]
  Row   13/100  (global  412)  mu=2.0914  [  13000/100000]  row=219.4s  ETA=319m  ranks=[116,116]  gap=[6.1e+04,3.2e+07]
  Row   14/100  (global  413)  mu=2.0964  [  14000/100000]  row=219.8s  ETA=315m  ranks=[116,116]  gap=[4.7e+04,3.2e+07]
  Row   15/100  (global  414)  mu=2.1014  [  15000/100000]  row=219.4s  ETA=312m  ranks=[116,116]  gap=[6.5e+04,2.9e+07]
  Row   16/100  (global  415)  mu=2.1063  [  16000/100000]  row=219.7s  ETA=308m  ranks=[116,116]  gap=[5.6e+04,3.4e+07]
